Title,Description,Domestic_BO,International_BO,Worldwide_BO,Distributor,Opening_amount,Release_date,Mpaa_rating,Running_time,Genres,In_release,Widest_release
A Thousand and One,"After unapologetic and fiercely loyal Inez kidnaps her son Terry from the foster care system, mother and son set out to reclaim their sense of home, identity, and stability, in a rapidly changing New York City.","$3,400,020","$27,191","$3,427,211",Focus Features,"$1,795,695","Mar 31, 2023",R,1 hr 57 min,"Crime,Drama",58 days/8 weeks,926 theaters
The Journey: A Music Special from Andrea Bocelli,"Merging world-class music with intimate conversations in the awe-inspiring Italian countryside, The Journey is an exploration of the moments that define us, the songs that inspire us, and the relationships that connect us to what matters.","$3,574,915","$23,801","$3,598,716",Fathom Events,"$1,201,091","Apr 2, 2023",,,Music,56 days/8 weeks,"1,074 theaters"
Tu Jhoothi Main Makkaar,"Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.","$2,503,604","$1,532,311","$4,035,915",Yash Raj Films USA Inc.,"$959,688","Mar 8, 2023",,2 hr 30 min,"Comedy,Romance",81 days/11 weeks,400 theaters
¡Que viva México!,"After his grandfather's death, a man travels with his wife and kids to his hometown, where chaos ensues with his relatives over the inheritance.","$161,222","$4,057,720","$4,218,942",Sony Pictures Entertainment (SPE),"$79,718","Mar 24, 2023",R,3 hr 11 min,Comedy,65 days/9 weeks,90 theaters
Maybe I Do,"Michelle and Allen are in a relationship. They decide to invite their parents to finally meet about marriage. Turns out, the parents already know one another well, which leads to some differing opinions about marriage.","$1,293,722","$3,017,651","$4,311,373",Vertical Entertainment,"$546,060","Jan 27, 2023",PG-13,1 hr 35 min,"Comedy,Romance",121 days/17 weeks,465 theaters
Winnie the Pooh: Blood and Honey,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.","$1,750,639","$3,190,561","$4,941,200",Fathom Events,"$652,482","Feb 15, 2023",,1 hr 24 min,Horror,102 days/14 weeks,"1,652 theaters"
Ponniyin Selvan: Part Two,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of south India.","$3,813,000","$1,222,633","$5,035,633",,"$3,813,000","Apr 28, 2023",,2 hr 44 min,"Action,Adventure,Drama",30 days/4 weeks,
Hypnotic,A detective investigates a mystery involving his missing daughter and a secret government program.,"$4,437,146","$614,863","$5,052,009",Ketchup Entertainment,"$2,401,686","May 12, 2023",R,1 hr 33 min,"Action,Mystery,Thriller",16 days/2 weeks,"2,118 theaters"
Infinity Pool,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.","$5,078,400","$105,024","$5,183,424",Neon,"$2,514,364","Jan 27, 2023",R,1 hr 57 min,"Crime,Horror,Mystery,Sci-Fi,Thriller",121 days/17 weeks,"1,835 theaters"
The Chosen Season 3 Finale,"Jesus responds to a tense situation in the Decapolis, an area of Israel where Jews live with Greeks, Arabians, and Nabateans and where His followers' teachings have roused everyone to confusion and fury. He travels there and is quickly challenged by all kinds of religious and political problems. He begins to deal with them, as He will always deal with our problems, and more and more people come. The Bible tells us there were 5000 people there. They listen to Him for days, and then they are hungry; and He feeds them. After this triumph, everyone is ready to go home to Capernaum; especially Simon, who is deeply troubled by his wife's illness. Jesus heals other people, so why won't He heal His own followers? Jesus tells the disciples to proceed without Him, and they take a boat across the Sea of Galilee but encounter a fierce storm which threatens to destroy them. But again, the Lord saves them, in a truly spectacular way. And He rescues Simon, as well. ""I think it's ready.""","$5,525,069","$64,073","$5,589,142",Fathom Events,"$3,623,742","Feb 2, 2023",,1 hr 39 min,"Drama,History",115 days/16 weeks,"1,979 theaters"
